USD (AM)
1976.8
1962.3
1953.5
1949.5
1959
1958.75
1981
1942.5
1961.9
1963.05
1947.25
1963.55
1964.15
1964
1951.9
1934.65
1964.1
1954.35
1953.85
1935.25
1927.95
1919.35
1930.55
1923.95
1909.85
1904.05
1903.55
1913.75
1929.75
1928.3
1919.15
1915.65
1925.05
1936.2
1935.75
1959.6
1956.5
1955.05
1961.95
1978.15
1981.5
1963.8
1964.75
1963.1
1972
1975.2
1950.15
1955.55
1956.75
1949.7
1936.9
1934
1936.9
1934.8
1928.4
1920.1
1918.05
1913.5
1904.1
1906.8
1893.95
1891.75
1890.1
1901.85
1904.55
1920.7
1917.85
1923.5
1938.35
1944.2
1944.3
1942.05
1931.8
1923.45
1919.85
1925.55
1926.6
1918.9
1912.15
1906.45
1918.7
1926.4
1935
1930.15
1923.4
1926.2
1922.55
1912.3
1895.55
1874.1
1871.6
1831.85
1828.3
1823.25
1822.75
1821.9
1852.3
1859.7
1870
1881.15
1887
